sentences|sentiments
giảng_viên gây hứng_thú cho sinh_viên với bài_giảng của mình vui_vẻ thân_thiện với sinh_viên|2
nên có những bài tập nhỏ bám sát với lý_thuyết|0
thầy dạy còn hơi buồn_ngủ colonsmile|0
sau đó sinh_viên phải đi học bù gây ra tình_trạng trùng giờ cho nhiều sinh_viên mong cô sớm khắc_phục|0
thầy dạy rất tốt em cho 10 điểm|2
cô giảng hay có ví_dụ dễ hiểu có làm mẫu bài_tập nhiệt_tình|2
tài_liệu nên cấp một lần trong đầu môn_học tránh trường_hợp học rồi mới đưa tài_liệu gây khó_khăn cho sinh_viên|0
nâng_cấp hệ_thống mạng và máy_tính|0
thầy dậy rất nhiệt_tình|2
khi gặp vấn_đề sinh_viên biết được cách sử_dụng các phương_thức hàm nào|2
không biết cô <name> là ai|1
thầy dạy dễ hiểu sát với thực_tế gần_gũi với sinh_viên|2
đươc biết nhiều cái mới_lạ|2
tuyệt|2
sau mỗi giờ học cũng có bài_tập làm sinh_viên rất nản|0
sau những buổi nghỉ tết hay nghỉ_lễ thầy nên thông_báo buổi học trên web môn_học để sinh_viên có_thể đi học đúng buổi|0
thầy dạy hay giảng bài dễ hiểu|2
dạy chậm về kiến_thức chưa hoàn_tất chuyển c sang cplusplus|2
em nghĩ cần có feedback từ phía thầy hoặc có sự so_sánh giữa các bạn trong lớp với nhau|0
thường_xuyên nhắc lại nội_dung buổi trước khi bắt_đầu buổi học|2
luôn trả_lời những thắc_mắc của sinh_viên dạy tận_tình|2
có nhiều ý_tưởng cho tiết học thêm sinh_động|2
không đồng_bộ kiến_thức với giáo_viên lý_thuyết|0
nội_dung kiểm_tra cần bao_phủ hết nội_dung môn_học|0
giảng_viên nên kiểm_tra sức học của từng bạn sinh_viên riêng_biệt thay_vì kiếm điểm quá_trình lấy từ hoạt_động của nhóm vì nhóm chỉ có một_vài bạn hoạt_động còn các bạn còn lại đa_số là ăn_theo có bạn ít thậm_chí là không hoạt_động và nhiều lần kéo điểm của nhóm xuống do các bạn hoat động_năng_nổ kiếm được|0
giảng_viên không đảm_bảo thời_gian lên_lớp nghỉ dạy không thông_báo trước và thường đến trễ|0
thầy hay nghỉ dạy mà không có thông_báo trước nhiều lần|0
bám sát thực_tiễn|2
thầy nên cho nhiều bài tập về nhà|0
giảng_viên tập_trung quá nhiều vào điện_thoại trong giờ lên lớp|0
gần thi không dặn gì hỏi tới mới trả_lời|0
những bài tập đồ án thầy đưa ra rất hay và giúp sinh_viên rèn_luyện kiến_thức rất tốt|2
thầy rất nhiệt_tình giảng bài chi_tiết rất quan_tâm đến sinh_viên và nói rất nhẹ_nhàng|2
trên đây là ý_kiến về các vấn_đề em nhận ra sau khi học|1
hy_vọng kỳ sau bộ_môn anh văn cải_tiến phương_pháp dạy và giáo_trình cho sinh_viên nghe nói nhiều hơn đôi_khi bảo_sinh_viên dịch một đoạn để kiểm_tra từ vựng em thấy giáo_viên cũng thương cho sinh_viên thảo thuận cặp để nói nhưng thật_sự các bạn không biết nói gì ngoài việc dịch tiếng việt ghép nghĩa tiếng anh|0
nếu như thế thì giáo_viên lý_thuyết có_thể đưa bài thực_hành cho sinh_viên làm mà không cần đến giảng_viên thực_hành|0
thời_gian hiệu_quả giảng_viên nhiệt_tình|2
sử_dụng trang_web trao_đổi thảo_luận trong lớp|1
nên cho thi cuối kỳ bằng hình_thức code trên máy code giấy rất chán và không có tính thực_tế|0
thầy dạy hài_hước tận_tâm trước các vấn_đề về học_tập cũng như việc_làm của sinh_viên|2
có nhiều bài nói hay|2
thầy dạy kỹ từng phần của bài_học giúp em dễ hiểu bài nắm vững kiến_thức|2
giảng_viên tận_tâm nhiệt_tình vui_tính|2
thầy giảng_dạy tận_tình|2
phòng học nhỏ không đủ máy không kết_nối mạng trong khi đây là phòng thực_hành của khoa mạng máy_tính|0
hơi khó_tính nhưng cái khó_tính đó giúp_ích cho em rất nhiều|2
cô dạy kỹ quan_tâm nhiều cho sinh_viên|2
thầy <name> có cách dạy dành cho những người chủ_động và đam_mê trong học_tập những người ham học_hỏi tìm_hiểu đam_mê còn những bạn không có tinh_thần hỏi thì sẽ khó học tốt được|2
thầy giảng rất hay dạy rất nhiệt_tình|2
giảng_viên tận_tâm nhiệt_tình dạy_học giảng dễ hiểu vui_tính hiền_lành|2
thầy <name> nên dạy thêm vài môn cho tụi em học|2
phần thực_hành môn này còn thiếu các thiết_bị thực_tế|0
phương_pháp giảng_dạy|1
thầy tận_tâm nhiệt_tình giảng_dạy|2
cung_cấp đầy_đủ kiến_thức và sắp_xếp tài_liệu gọn_gàng giúp cho sinh_viên dễ_dàng tìm_kiếm|2
thầy dạy tốt trọng_tâm vào bài_học|2
giảng_viên tận_tâm nhiệt_tình giảng_dạy rất chi_tiết nội_dung môn_học các ví_dụ sinh_động sát thực_tế|2
giảng_viên đảm_bảo giờ lên_lớp và giảng_dạy|2
lớp học vui giảng_viên giảng_dạy sáng_tạo dễ hiểu|2
giảng_viên nói tiếng anh khá khó nghe nói nhỏ|2
cô nên cho nhiều ví_dụ hơn giảng bài chậm hơn ạ|0
cung_cấp được nhiều kinh_nghiệm hay trong việc học cũng như đi làm sau_này|2
không có đề_cương cụ_thể|0
thầy cho bài_tập và giải chi_tiết giảng dễ hiểu|2
phòng máy thiết_bị mạng cần được đầu_tư và vệ_sinh em thấy phòng máy quá bụi cửa thì hở nên không mát dẫn đến điều_hòa mất tác_dụng lãng_phí|0
giảng_viên tận_tâm nhiệt_tình có nhiều bài_tập hay|2
nên để sinh_viên được tự vận_động áp_dụng lý_thuyết vào thực_hành|0
cô không gây được hứng_thú học cho sinh_viên đặc_biệt là đối_với môn khó thế này|0
giảng khó hiểu|0
thầy tận_tâm nhiệt_tình giảng kỹ bài_học|2
có nhiều ví_dụ minh_họa dễ hiểu|2
dạy nhiệt_tình giỏi|2
thầy dạy hơi khó hiểu|0
cải_thiện thiết_bị lớp_học doubledot máy chiếu ổ điện quạt|0
vui_vẻ giảng dễ tiếp_thu|2
thầy <name> dạy rất nhiệt_tình với sinh_viên|2
thầy <name> dạy quá dở|0
cho học_sinh tích_cực thuyết_trình bằng tiếng anh|2
đem lại nhiều kiến_thức qua môn_học|2
cô giảng_dạy hay truyền_đạt được kiến_thức đến sinh_viên|2
nhiệt_tình tận_tâm_truyền_đạt và các ví_dụ dễ hiểu|2
nâng_cấp cơ_sở_vật_chất đặc_biệt là loa micro và mạng wifi|0
chép hơi nhiều|0
đảm_bảo giờ dạy trên lớp đầy_đủ đúng giờ tận_tình|2
em nghĩ nên thực_hành nói nhiều hơn|0
tốc_độ giảng_dạy tương_đối cao|0
cho các bài_tập lớn để sinh_viên có_thể làm_việc nhóm|0
máy_tính khó sử_dụng|0
giáo_viên tận_tâm và nhiệt_tình giúp_đỡ học_sinh trong quá_trình học_tập|2
thầy chưa bao_quát được hết lớp nghe giảng|0
giáo_trình lỗi_thời quá hàn_lâm xa với thực_tiễn|0
thầy rất bận hay quên|0
sự nhiệt_tình trả_lời các câu hỏi của sinh_viên tài_liệu được cung_cấp đầy_đủ rõ_ràng|2
chưa có nhiều kinh_nghiệm trong giảng_dạy|0
không đánh_giá đúng khả_năng của học_sinh|0
dạy vui|2
lớp chất_lượng cao nhưng lại thiếu thiết_bị|0
đồng_ý là làm bài tập nhiều sẽ tăng khả_năng hiểu bài tăng khả_năng giải_quyết bài_toán|2
truyền_đạt kinh_nghiệm thực_tế|2
nắm vững ngữ_pháp và nâng cao được kỹ_năng viết|2
nếu được phòng_thí_nghiệm có_thể có thêm các thiết_bị thật để chạy và phát_triển ứng_dụng windows phone để các bạn biết điểm khác nhau giữa chạy thiết_bị giả lập và thiết_bị thật|0
vui_vẻ tận_tình hoà_đồng|2
học được nhiều điều qua cách giảng_dạy nhiệt_tình của thầy|2
em rất hài_lòng về thầy thầy rất tận_tình giúp_đỡ sinh_viên mọi thắc_mắc luôn được trả_lời đầy_đủ|2
thầy dạy chi_tiết|2
chép bài trên lớp giúp nhớ bài|2
giảng_viên rất vui_tính|2
giảng_viên có khả_năng truyền_đạt và phương_pháp giảng_dạy dễ hiểu|2
giáo_viên dạy nhiệt_tình quan_tâm tới học_sinh|2
thay_vì kiểm_tra trên wecode thì cho làm trên lớp thì hay hơn|0
em chỉ muốn thầy_cô dạy nói nhiều hơn để ứng_dụng được nhiều hơn|0
thầy cho nhiều bài tập về nhà và có hướng_dẫn giải|2
chưa dạy cách để áp_dụng môn_học vào thực_tiễn|0
áp_dụng thực_tiễn cao|2
những vấn_đề cô nói thường nhanh dài và khó hiểu|0
thầy tận_tình giảng_dạy hay có nhiều ví_dụ thực_tế cho sinh_viên dễ hiểu|2
giáo_viên giảng bài sinh_động dễ tiếp_thu|2
cách_thức truyền_đạt của giáo_viên|1
nhiệt_tình chỉ bảo hết_mình|2
thầy rất nhiệt_tình với lớp|2
giáo_viên dạy tận_tâm dễ hiểu vui_vẻ|2
thầy rất hiền|2
nội_dung các bài thực_hành cần_thiết được thầy thay_đổi thích_hợp với nội_dung học|2
cách dạy projectbase của thầy khá hay tuy_nhiên sinh_viên phải mò rất nhiều mới có_thể đạt được như mong_muốn|2
cho thêm bài_tập về nhà tốc_độ giảng_giải của thầy cần chậm hơn|0
môn_học cần có nhiều bài_tập hơn nữa cần nhiều giáo_trình hơn nữa|0
sự tận_tình của thầy|2
thầy dạy hay tận_tình gần_gũi với học_sinh|2
cho điểm rẻ|0
rất thân_thiện và nhiệt_tình|2
tài_liệu học_tập chưa được cập_nhật đầy_đủ|0
theo_dõi kỹ càng việc thực_hành của sinh_viên|2
giáo_viên nhiệt_tình vui_tính|2
giảng_viên rất tận_tình trong việc giảng_dạy|2
đề_nghị nhà_trường sửa hoặc bổ_sung mới để việc thực_hành có hiệu_quả|0
giảng bài với tốc_độ nhanh quá nhiều phần không theo kịp|0
em không_thể hình_dung được gì từ slide của thầy|0
làm nhóm chỉ nhóm_trưởng và lớp trưởng phần công công_việc|1
giảng_viên không hướng_dẫn thực_hành đầy_đủ|0
giảng_viên có tương_tác với giáo_viên|2
có một sô bài_tập lớn hay giúp bọn em rất nhiều|2
giảng_viên nhiệt_tình tận_tâm|2
nội_dung bài_học có phần sơ_sài|0
em muốn khi học môn này nên cho đồ_án để áp_dụng nhiều hơn vì em thấy môn này rất hay|0
cảm_ơn cô|1
cập_nhật cập_nhật|1
cần giảng_viên lên_lớp thường_xuyên hơn|0
giảng_viên nên dạy lại một_vài kiến_thức trước khi cho thực_hành|0
giảng nhanh nói nhanh mà không biết rằng sinh_viên chưa kịp hiểu được đến vấn_đề đó|0
thầy dạy rất nhiệt_tình giúp sinh_viên|2
dạy từ cơ_bản theo logic đến nâng cao|2
giờ học trên lớp chưa thực_sự hiệu_quả|0
nên giảm bớt số tiết trong một buổi|0
giảng_viên tạo hoạt_động cho lớp tốt nhiệt_tình_tiết học thú_vị|2
khả_năng truyền_đạt dễ hiểu giúp sinh_viên nắm vững kiến_thức|2
giảng_viên nói tiếng anh khó nghe|2
còn ít tài_liệu tham_khảo|0
thầy ít giảng nội_dung lý_thuyết trên lớp|0
đảm_bảo đầy_đủ giờ lên_lớp truyền_đạt đủ kiến_thức theo đề_cương|2
cách trình_bày giọng nói khó nghe diễn_đạt kiến_thức chưa được tốt|0
cần nhiều giờ thực_hành hơn nữa vì chủ_yếu được học lý_thuyết thời_gian tiếp_xúc thiết_bị ít|0
cô nhiệt_tình dạy dễ hiểu|2
thầy liên_hệ thực_tiễn nhiều gây hứng_thú cho sinh_viên|2
nếu thỉnh_thoảng thầy bù lịch học thì em không nói ạ|1
cho điểm chấm bài tập không công_bằng|0
thầy cũng ít quan_tâm đến ý_kiến của học_sinh|0
thầy dạy về lý_thuyết thì hơi khó hiểu khó tiếp_thu cho lắm|0
giảng_viên trình_bày dễ hiểu theo sát bài_học|2
thầy dạy tận_tâm truyền_đạt tốt|2
phát_âm tốt|2
giáo_viên rất tận_tình và dễ_thương|2
cần đi sát thực_tiễn kèm thực_hành nhiều hơn lý_thuyết để không bị nhàm_chán|0
giảng_viên linh_động cung_cấp tài_liệu cho sinh_viên trong và ngoài hệ_thống moodle|2
cô dạy dễ hiểu nhiệt_tình|2
cần có giáo_trình cụ_thể riêng và phù_hợp với nội_dung học trong trường|0
tiết học thú_vị giảng_viên dạy hay|2
hình như thầy không dùng moodle|0
thầy giảng đôi lúc khó hiểu|0
cách giảng bài của thầy chưa thu_hút được nhiều sinh_viên|0
giảng_viên truyền_đạt chưa tốt giảng_viên chỉ nói về nội_dung bài_học mà không có hoạt_động cho sinh_viên như đặt câu hỏi thảo_luận làm bài tập|0
cuối kỳ 100 là bài_tập mà cơ_bản thì mình không thấy thầy đứng lên trong lúc dạy lần nào chỉ ngồi yên đó đọc slide thôi slide tiếng anh chỗ dịch tiếng việt chỗ thì không dịch cũng khó học nên chỉ lên mạng học thôi|0
cần đặt mục_tiêu rõ_ràng nhất từ môn_học và môn_học cần được học ở sinh_viên năm nhất vì lúc vào sinh_viên còn rất ngỡ_ngàng với các khoa và các môn_học sẽ học vì_thế nên học trước để tạo tâm_lý cũng như sinh_viên phải biết mình cần làm gì tạo nên sự chủ_động trong học_tập và làm_việc|0
cần cài các phần_mềm học_tập mới chính_xác ví_dụ doubledot visual studio 2010 hoặc 2012 để sinh_viên học_tập tốt hơn|0
thầy thường_xuyên đi trễ trong các buổi học|0
thầy tận_tâm nhiệt_tình giúp_đỡ sinh_viên sẵn_sàng giải_đáp thắc_mắc của sinh_viên|2
cho bài_tập khó ngay khi vừa giảng xong|0
giảng_viên tận_tâm nhiệt_tình với sinh_viên luôn lắng_nghe giải_đáp tất_cả các thắc_mắc của sinh_viên luôn tạo được ngữ_cảnh cho sinh_viên thảo_luận về bài_học|2
thắc_mắc ngay tại lớp những cái mình không hiểu|1
giáo_viên rất thân_thiện|2
ví_dụ như mục quy_hoạch động là mục em thích_thú nhưng cô nói đây là mục khó cô dạy chỉ những ví_dụ cực_kỳ cơ_bản|0
nếu thầy đã không đảm_bảo giờ lên_lớp thì khi ra bài thi và đề_cương ôn_tập nên chú_ý đến việc rõ_ràng hướng_dẫn rõ sinh_viên biết mình phải học gì|0
giảng dễ hiểu kỹ có chút nghiêm_khắc|2
không hiệu_quả và khó_hiểu trong cách dạy|0
chưa sử_dụng hệ_thống moodle|0
thầy cũng hay áp_đặt suy_nghĩ mình lên sinh_viên ý_tưởng của sinh_viên tương_lai của sinh_viên thầy không có quyền ép sinh_viên phải nghĩ thế này thế kia hay phải suy_nghĩ theo ý thầy|0
thầy chấm đồ_án quá gắt nguy_cơ rớt môn rất cao|0
tận_tâm cho nhiều bài tập|2
giảng_viên không sử_dụng hệ_thống website môn_học trong quá_trình giảng_dạy|0
có nhiều hoạt_động trên lớp|2
đa_phần bài thực_hành đã được làm từ những bài_tập về nhà của thầy x|1
phương_pháp dạy của thầy chưa phù_hợp gây khó hiểu cho sinh_viên|0
thời_gian tăng từ 4 tiết lên đến 5 tiết khiến sinh_viên mệt_mỏi và thiếu tập_trung ở cuối giờ học|0
cô dạy rất nhiệt_tình và hay|2
thầy dạy rất hay nhưng lại hay nghỉ có một_số buổi thầy nghỉ nhưng không báo làm sinh_viên đến lớp|0
thầy vui_tính dể tiếp_thu bài|2
bài giảng|1
giảng_viên vui_vẻ thân_thiện với học_sinh|2
giảng_viên tận_tâm nhiệt_tình đới với sinh_viên|2
luôn tìm cách giúp_đỡ sinh_viên|2
để tiện cho sinh_viên xếp lịch|1
môn_học cần phân_bố hợp_lý thời_gian cũng như các phần của môn_học giúp sinh_viên học tốt hơn môn_học này|0
cô giảng bài rất nhanh mong cô sẽ dạy chậm lại để sinh_viên kịp hiểu vấn_đề|2
giảng_dạy hiệu_quả|2
thầy giảng rất chi_tiết rất nhiệt_tình|2
nghỉ phải thông_báo trước cho lớp|0
giảng_viên có khả_năng truyền_đạt liên_hệ thực_tiễn giảng_viên nhiệt_tình tận_tâm|2
yêu_cầu của giảng_viên quá cao trong khi cái mà sinh_viên học được lại quá ít hầu_như không có gì ngoài việc dịch các cuốn sách mà không hiểu đúng_sai trong khi dù đúng hay sai cũng không không được giảng_viên chỉ ra|0
cần có tài_liệu giáo_trình của trường một_cách cụ_thể và cập_nhật hơn|0
nên có thêm nhiều bài tập về nhà để củng_cố kiến_thức|0
tháng học môn kiến_trúc máy_tính 4 ngày nghỉ 3 ngày bù trùng lịch 3 môn không học được rớt tốn tiền|0
cập_nhật slide mới tài_liệu slide cũ có nhiều điểm khác slide mới không cập nhât đúng thứ_tự ví_dụ|0
cô dạy rất có tâm và chuyên_môn tốt colonsmile|2
điều này xảy ra ở mọi tiết học|0
nên bổ xung_phần thực_hành|0
tận_tình dễ hiểu|2
cô nên cho học_sinh thêm nhiều slide|0
cô cho ví_dụ minh_họa dễ hiểu|2
phòng máy không tốt|0
thầy giảng bài hay và có mở_rộng thêm kiến_thức bên ngoài|2
cách dạy của giảng_viên mới_lạ và thực_tế|2
thầy rất giỏi|2
ít bài_tập cho sinh_viên|2
có lấy nhiều ví_dụ liên_hệ thực_tiễn|2
bài tập lớn trong môn_học đóng_góp_phần_lớn điểm yêu_cầu sinh_viên phải có smartphone và laptop cỡ trung trở_lên để thực_hiện nhận_diện giọng nói nhận_diện chữ viết game với engine phát_triển game cho smartphone điều này gây khó_khăn cho sinh_viên không có điều_kiện yêu_cầu sinh_viên tìm_hiểu các framework chưa từng nghe tên để làm bài tập|0
cần áp_đặt việc kiểm_tra bài cũ và bài mới trên giờ học nhiều hơn|0
giờ học khá nhiều|0
thầy nên cho bài_tập môn hệ điều_hành nhiều hơn nữa|0
bài_giảng tạo cảm_giác hứng_thú và tiếp_thu bài tốt|2
giảng_viên giảng_dạy hay|2
nhiệt tình thân_thiện với sinh_viên|2
thầy truyền_đạt kiến_thức chưa tốt|0
giúp em biết được một phần thực_tế của công_việc sau_này|2
giảng_viên tận_tâm nhiệt_tình gần_gũi với sinh_viên|2
giải chi_tiết bài|2
giảng_viên giảng_dạy nhiệt_tình nội_dung giảng_dạy đầy_đủ ôn_tập sát với nội_dung kiểm_tra|2
môn_học khá khó không phù_hợp|0
hiện_tại môn_học còn mang tính lý_thuyết quá nặng|0
ngoài ra có bài không thấy yêu_cầu nộp video nên em nộp code không cũng bị trừ bài cuối thầy dặn không cần làm cũng chấm em 0 điểm|0
thầy khá là tận_tâm trong việc truyền_đạt kiến_thức|0
nhiệt_tình vui_tính hòa_đồng dễ gần_gũi|2
đánh_giá tính chuyên_cần|1
không trả_lời mail từ sinh_viên|0
thầy có_thể soạn thêm nhiều dạng bài_tập để khi thi mấy bạn đỡ bỡ_ngỡ hơn kết_quả sẽ tốt hơn|0
nhiều việc cần xử_lý|0
gần_gũi vui_vẻ với sinh_viên|2
thực_hành ngay trên lớp lý_thuyết thì sẽ hay hơn|0
nhiệt_tình tận_tâm với học_sinh|2
phân_chia dụng_cụ luyện_tập chưa hợp_lý|0
cho nhiều bài tập đa_dạng|2
tại_sao có rất nhiều vấn_đề hay liên_quan đến phần_mềm nhà_trường lại không dạy dành ra 4 chỉ cho môn đặc_tả hình_thức chỉ để đóng học_phí và học đối_phó cho qua|0
nghỉ và học bù hơi nhiều|0
thầy nên cho bọn em xem code chạy thử colonsmallsmile|0
thầy giảng_dạy rất nhiệt_tình dễ hiểu|2
tăng_cường một_số tài_liệu học_cơ_bản|0
phải bỏ tiền học lại|0
bài tập theo sát đề_cương|2
chưa gặp lần nào|1
project môn_học thầy <name> yêu_cầu làm ở mức_độ tìm_hiểu nhưng lúc lên báo với thầy <name> thì thầy không chấp_nhận|0
nói những vấn_đề không liên_quan|0
giảng_viên vui_vẻ nhiệt_tình thân_thiện cách_diễn_đạt tự_nhiên dễ hiểu|2
thầy dạy rất chuẩn và nhiệt_tình kèm theo thời_gian tập_luyện và nghỉ_ngơi hợp_lý|2
cô giảng_dạy nhiệt_tình cô bài_tập trên courses nhiều dù có vắng_mặt hay lơ_là trong lúc học vẫn nắm được bài và học tốt|2
bài tập nhiều có nhiều câu hỏi hay|2
giảng_viên là người giảng_dạy nhiệt_tình khả_năng truyền_đạt cực_kỳ tốt tài_liệu đi kèm môn_học hay|2
phương_pháp dạy của cô đạt hiệu_quả với sinh_viên yếu_kém nhưng lại nhàm_chán tốn khá nhiều thời_gian cho sinh_viên học mức khá giỏi trở_lên kiến_thức mới ngoài giáo_trình mạng lại chưa nhiều gần như không|0
hy_vọng thầy đảm_bảo thời_gian lên_lớp đủ 30 tiết|0
nên hướng_dẫn sinh_viên nhiều hơn|0
cô vào trễ|0
giảng_viên dạy dễ hiểu quan_tâm đến học_sinh|2
thầy dạy không dạy nhiều trong mỗi buổi học thời_gian dạy trên lớp không đảm_bảo|0
nhiệt_tình với sinh_viên có kiến_thức tốt|2
truyền_đạt kiến_thức tốt|2
giáo_viên dạy nhiệt_tình kết_hợp với nhiều ví_dụ cụ_thể làm bài giảng dễ hiểu vui_vẻ trong quá_trình giảng bài|2
giảng_dạy kỹ quan_tâm sinh_viên|2
giảng_viên nhiệt_tình kết_hợp truyền_đạt nhiều kiến_thức trong thực_tiễn|2
cần những hướng_dẫn chi_tiết hơn vì tiếp_xúc những cái mới thực_hành môn lập_trình nhúng thầy không hướng_dẫn sinh_viên mà để sinh_viên tự làm 100|0
hy_vọng được học và làm_việc với thầy nhiều hơn|2
tài_liệu thầy cho đem về ôn cũng phải chờ rất lâu mới có|0
tinh_thần trách_nhiệm nhiệt_huyết vui_vẻ hòa_đồng với sinh_viên|2
quan_tâm tới sinh_viên vui_vẻ|2
nhiều phần học không kỹ nên khó_khăn trong thi|0
chuyên_môn cao nhiệt_tình|2
học tới đâu ôn tới đó|2
hướng_dẫn cụ thế phương_pháp cho từng bài thực_hành|2
sẵn_sàng giải_đáp tận_tình mọi thắc_mắc của sinh_viên khi được hỏi|2
điểm_danh nhiều quá|0
tăng_cường thêm thiết_bị để môn_học được hiệu_quả|0
em cũng không biết là cô hay thầy nữa|0
cô ít tương_tác với sinh_viên|0
thầy dạy dễ hiểu siêng chép vui_tính|2
hay bị bù thời_gian học|0
thầy quan_tâm cho sinh_viên|2
nên có thời_gian nghỉ giải_lao giữa giờ cho sinh_viên bớt căng_thẳng|0
nhiều lúc nói_chuyện ngoài_lề hơi nhiều dạy thâm giờ|0
giảng_viên dạy nhiệt_tình dễ hiểu|2
biết được một_số kỹ_năng|2
em nghĩ không nên cho sinh_viên chấm chéo đồ_án vì mỗi người code một kiểu và hầu_hết ai cũng lo cho đồ_án của mình nên việc chấm chéo diễn ra rất khó_khăn và gấp_gáp nên chấm có_thể không chính_xác mấy|0
mở_rộng nhiều kiến_thức liên_quan|2
giảng_viên vui_vẻ hòa_đồng truyền_đạt kiến_thức tốt tận_tâm với sinh_viên|2
tôi xin góp_ý doubledot đổi giờ học anh văn vào buổi sáng để chất_lượng của buổi học được nâng cao|0
thầy hay kéo giờ nhưng dạy tận_tình cho ví_dụ và bài_tập dễ hiểu|2
chấm thi kém|0
thật vô_lý khi dùng màn chiếu để dạy toán 100 cách này khiến sinh_viên không_thể_nào theo kịp những điều giảng_viên nói và cũng không có cơ_hội lên bảng giải bài tập|0
thầy truyền_đạt nhiều kinh_nghiệm quý_giá|2
cảm_ơn thầy|1
cần nhiều hoạt_động ngoại_khóa|0
nên tăng_cường dạy từ vựng bị hỏng kiến_thức về từ vựng|0
giảng_dạy kỹ hỗ_trợ sinh_viên|2
thầy chỉ giảng những kiến_thức có trong slide bài_giảng trong khi nội_dung môn_học có bài_tập nhưng sinh_viên không được hướng_dẫn kỹ về cách làm bài|0
giảng_viên có tầm hiểu_biết sâu_rộng|2
em chưa có gặp giáo_viên lần nào nữa ạ|0
giảng rất dễ hiểu nhiệt_tình với sinh_viên|2
thầy luôn yêu_cầu ý_tưởng sinh_viên phải thực_tế có_thể thực_hiện được trong tương_lai nếu sinh_viên làm được thì sinh_viên đã không phải đi học thầy yêu_cầu đề_án phải đủ lớn phải mang tầm_vóc quốc_tế nhưng nó phải khả_thi|0
đảm_bảo tốt|2
giảng_viên dạy dễ tiếp_thu slide trình_bày được giảng_viên vui_tính dạy nhiệt_tình tận_tình trong công_việc|2
thầy dạy hay hướng_dẫn tận_tình|2
file thực_hành cần có một_số gợi_ý cho sinh_viên biết hướng và định_hướng giải|0
cô dạy nhiệt_tình và không bị áp_lực trong khi học|2
thầy dạy rất vui|2
thầy giảng chú_trọng nhiều vào slide ít tương_tác với sinh_viên khả_năng truyền_đạt kiến_thức cho sinh_viên không được tốt|0
bài tập khó và thường không song_song với lý_thuyết|0
thầy trực phòng thực_hành cũng đã bảo về và vào phòng tắt máy_lạnh|1
thầy cho nghỉ nhiều chắc vì cuối kỳ thầy đi học|0
cô có cách dạy hay dễ hiểu tận_tình|2
phòng học anh văn chất_lượng loa micro không tốt không đáp_ứng được cho sinh_viên rèn_luyện kỹ_năng nghe|0
truyền_đạt rất nhiều kiến_thức thực_tế bổ_ích|2
thầy <name> vui_vẻ giảng không buồn_ngủ giải_đáp thắc_mắc đầy_đủ dễ hiểu|2
giảng_viên không dành tìm_hiểu trước nội_dung giảng_dạy trước khi lên lớp|0
em nghĩ là chỉ cần đồ_án cuối kỳ là đủ rồi|0
thầy cho nghỉ quá nhiểu mà không sắp_xếp giáo_viên dạy thay_vì_vậy dẫn tới việc học bù liên_tiếp vào những ngày cuối khi mà chúng_em phải ôn_tập những kiến_thức khác vẫn có một_số buổi thông_báo học bù nhưng sau đó lại thông_báo nghỉ đột đột dẫn tới bị ùn kiến_thức không ai ăn được một vạ gạo một ngày cả tên môn_học là nhập_môn công_nghệ_phần_mềm nhưng kiến_thức và cách đánh_giá năng_lực học_sinh quá nặng_nề nếu là sinh_viên các khoa như phần_mềm hệ_thống thì có_thể hiểu được nhưng với những sinh_viên khoa khoa_học máy_tính như chúng_em vì đây là môn_học bắt_buộc thì thật_là quá_sức và những kiến_thức thầy nói quá lạc_lõng mơ_hồ|0
cách truyền_đạt sự tận_tâm|2
thầy luôn làm cho không_khí học thoải_mái|2
dạy tốt chu_đáo|2
đồng_thời bài_tập và tài_liệu thầy thực_sự được cung_cấp rất nhiều|2
rất vui và nhiệt_tình|2
giảng bài kỹ và dễ hiểu|2
giảng_viên thiếu kinh_nghiệm truyền_đạt trầm_trọng|0
thầy dạy nhanh nhiều khi theo không kịp|0
hiền nhiệt_huyết|2
giảng_viên hướng_dẫn sinh_viên nhiệt_tình dễ hiểu|2
thầy vui_tính giảng bài dễ hiểu chỉ_dẫn tận_tình|2
cô lên_lớp vui_vẻ|2
lâu_lâu thầy nói cực nhanh nghe không kịp ý thầy|0
kiến_thức thầy rộng tận_tình với học_sinh như anh_em|2
truyền_đạt hay|2
giáo_viên rất dễ_tính dạy dễ hiểu có nhiều điểm cộng|2
mail không trả_lời|0
mức_độ quan_tâm học_sinh rất cao|2
thường_xuyên cho làm bài tập|0
cung_cấp thêm tài_liệu và cho nhiều ví_dụ thêm|0
trang_thiết_bị tốt hơn|0
giảng_viên vui_vẻ hoà_đồng_nhiệt_tình trong việc giảng_dạy|2
mở các câu_lạc_bộ về lập_trình sẽ giúp các sinh_viên đầu khoá có cách tiếp_cận môn_học dễ_dàng cũng như cách nghiên_cứu về môn_học còn các sinh_viên năm 3 năm 4 sẽ có cơ_hội hướng_dẫn các sinh_viên đầu khoá như vậy các anh_chị khoá trên sẽ nắm chặt kiến_thức hơn|0
vui_nhộn và hài_hước|2
chưa chủ_động trong việc đưa kiến_thức|0
thầy rất có kinh_nghiệm khi giảng_dạy các bài_giảng của thầy rất có_ích sau khi ra trường của sinh_viên bọn em|2
tiếc là học_kỳ 2 em không đăng_ký được lớp lập_trình hướng đối_tượng của cô|2
